Weekday,Arrival_date,Departure_date,Ship,Pier
Mi,21.08.13,21.08.13,Europa,Ostseekai
Do,22.08.13,22.08.13,Mein Schiff 1,Ostseekai
Sa,24.08.13,24.08.13,AIDAcara,Ostseekai
Sa,24.08.13,24.08.13,MSC Poesia,Ostseekai
So,25.08.13,25.08.13,MSC Musica,Ostseekai
So,25.08.13,25.08.13,Costa Pacifica,Ostseekai
Di,27.08.13,27.08.13,Hamburg,Ostseekai
Fr,30.08.13,30.08.13,Mein Schiff 1,Ostseekai
Sa,31.08.13,31.08.13,MSC Poesia,Ostseekai
So,01.09.13,01.09.13,MSC Musica,Ostseekai
Di,03.09.13,03.09.13,Deutschland,Norwegenkai
Mi,04.09.13,04.09.13,Costa Pacifica,Ostseekai
Sa,07.09.13,07.09.13,AIDAcara,Ostseekai
Sa,07.09.13,07.09.13,Delphin,Norwegenkai
Sa,07.09.13,07.09.13,MSC Poesia,Ostseekai
So,08.09.13,08.09.13,MSC Musica,Ostseekai
Mo,09.09.13,09.09.13,Mein Schiff 1,Ostseekai
Sa,14.09.13,14.09.13,AIDAcara,Ostseekai
Sa,14.09.13,14.09.13,MSC Poesia,Ostseekai
Sa,21.09.13,21.09.13,AIDAcara,Ostseekai
Sa,28.09.13,28.09.13,AIDAcara,Ostseekai
Mi,02.10.13,02.10.13,AIDAcara,Ostseekai
Mi,04.12.13,04.12.13,Black Watch,Ostseekai
Sa,05.04.14,05.04.14,AIDAcara,Ostseekai
Do,10.04.14,10.04.14,AIDAcara,Ostseekai
Sa,12.04.14,12.04.14,AIDAcara,Ostseekai
Sa,19.04.14,19.04.14,AIDAcara,Ostseekai
Sa,26.04.14,26.04.14,AIDAcara,Ostseekai
Mi,30.04.14,30.04.14,Costa Pacifica,Ostseekai
Sa,03.05.14,03.05.14,AIDAcara,Ostseekai
Sa,10.05.14,10.05.14,AIDAcara,Ostseekai
Sa,10.05.14,10.05.14,Delphin,Norwegenkai
Sa,10.05.14,10.05.14,MSC Orchestra,Ostseekai
So,11.05.14,11.05.14,Costa Pacifica,Ostseekai
Mi,14.05.14,14.05.14,MSC Orchestra,Ostseekai
Do,15.05.14,15.05.14,Azores,Norwegenkai
Sa,17.05.14,17.05.14,AIDAcara,Ostseekai
Sa,17.05.14,17.05.14,MSC Orchestra,Ostseekai
Mo,19.05.14,19.05.14,Saga Pearl II,Ostseekai
Mo,19.05.14,19.05.14,Delphin,Norwegenkai
Mi,21.05.14,21.05.14,Eurodam,Ostseekai
Do,22.05.14,22.05.14,Costa Pacifica,Ostseekai
Sa,24.05.14,24.05.14,AIDAcara,Ostseekai
Sa,24.05.14,24.05.14,MSC Orchestra,Ostseekai
So,25.05.14,25.05.14,Azores,Norwegenkai
Di,27.05.14,27.05.14,Hamburg,Ostseekai
Do,29.05.14,29.05.14,Mein Schiff 2,Ostseekai
Sa,31.05.14,31.05.14,AIDAcara,Ostseekai
Sa,31.05.14,31.05.14,Hamburg,Norwegenkai
Sa,31.05.14,31.05.14,MSC Orchestra,Ostseekai
So,01.06.14,01.06.14,Mein Schiff 2,Ostseekai
So,01.06.14,01.06.14,Azores ,Norwegenkai
So,01.06.14,01.06.14,Artania,Ostseekai
Mo,02.06.14,02.06.14,Mein Schiff 1,Ostseekai
Mo,02.06.14,02.06.14,Eurodam,Ostseekai
Mo,02.06.14,02.06.14,Costa Pacifica,Ostuferhafen
Di,03.06.14,03.06.14,AIDAcara,Ostseekai
Mi,04.06.14,04.06.14,Mein Schiff 3,Ostseekai
Mi,04.06.14,04.06.14,Ocean Majesty,Norwegenkai
Fr,06.06.14,07.06.14,Mein Schiff 3,Ostseekai
Fr,06.06.14,06.06.14,AIDAcara,Ostseekai
Sa,07.06.14,07.06.14,MSC Orchestra,Ostseekai
Mo,09.06.14,09.06.14,AIDAcara,Ostseekai
Mo,09.06.14,09.06.14,Delphin,Norwegenkai
Mi,11.06.14,11.06.14,Europa 2,Ostseekai
Mi,11.06.14,11.06.14,Mein Schiff 2,Ostseekai
Mi,11.06.14,11.06.14,Hamburg,Norwegenkai
