Feature 1,Feature 2,Feature 3,R²,Adjustiertes R²
Broetchen,Temp_Cold,Samstag,0.4274040286479309,0.4259295325843634
Broetchen,Temp_Cold,Weather_Good,0.4274014789826296,0.4259269763534004
Broetchen,Temp_Cold,Heimspiel,0.4273998401599829,0.42592533331060944
Broetchen,Temp_Cold,Weather_Moderate,0.4273994635655647,0.4259249557464202
Broetchen,Croissant,Temp_Warm,0.42683521367492816,0.42535925285177345
Broetchen,Temp_Mild,Temp_Warm,0.4264105167455652,0.42493346228224904
Broetchen,Konditorei,Sonntag,0.42616786372873483,0.42469018440786466
Broetchen,Croissant,Temp_Hot,0.425940331317724,0.4244620660764822
Broetchen,Croissant,Cloud_Cloudy,0.4258638330468689,0.42438537081437167
Broetchen,Konditorei,Feiertag,0.42583253022023093,0.4243539873795964
Broetchen,Croissant,Weather_Unknown,0.42582692198445105,0.42434836470200754
Broetchen,Konditorei,Temp_Warm,0.42581777219121,0.4243391913470672
Broetchen,Croissant,Temp_Mild,0.4257514270670798,0.42427267537712376
Broetchen,Konditorei,Cloud_Cloudy,0.425712173739921,0.4242333209684358
Broetchen,Konditorei,Temp_Mild,0.42561802561288076,0.4241389303998667
Broetchen,Konditorei,Temp_Hot,0.4256011070730994,0.42412196829303017
Broetchen,Temp_Warm,Temp_Hot,0.42558696861038503,0.42410779342225724
Broetchen,Croissant,Cloud_Clear,0.425585364659283,0.424106185340809
Broetchen,Konditorei,Weather_Unknown,0.42556940632955,0.4240901859166647
Broetchen,Konditorei,Cloud_Clear,0.4255687870876669,0.4240895650801674
Broetchen,Croissant,Weather_Light_Issues,0.42555862112038434,0.4240793729344283
Broetchen,Konditorei,Weather_Light_Issues,0.4255265121167545,0.42404718124666896
Broetchen,Konditorei,KielerWoche,0.4255246488281692,0.42404531315991556
Broetchen,Konditorei,is_holiday,0.4249757969359048,0.42398947754814487
Broetchen,Croissant,KielerWoche,0.42546568839223875,0.4239862008945364
Broetchen,Konditorei,Markt,0.4254055111681424,0.42392586870763116
Broetchen,Croissant,is_holiday,0.42487131215553064,0.4238848135485933
Broetchen,Konditorei,Wind_Moderate,0.42529690359068684,0.4238169814540105
Broetchen,Croissant,Feiertag,0.42519013965051533,0.42370994258523775
Broetchen,Konditorei,Samstag,0.4251886163763732,0.42370841538850124
Broetchen,Konditorei,Wind_Strong,0.42515919545087755,0.42367891870096563
Broetchen,Croissant,Wind_Moderate,0.42514650288155587,0.42366619344691614
Broetchen,Croissant,Markt,0.42512285575985687,0.42364248543134153
Broetchen,Konditorei,Donnerstag,0.4250615524199147,0.42358102422872135
Broetchen,Konditorei,Wind_Light,0.4250562722599729,0.4235757304718012
Broetchen,Konditorei,Weather_Severe,0.42504634792696894,0.4235657805825749
Broetchen,Croissant,VPI,0.42504566241545816,0.4235650933057984
Broetchen,Konditorei,VPI,0.4250454369107357,0.4235648672203771
Broetchen,Temp_Warm,KielerWoche,0.4250331228857597,0.4235525214854655
Broetchen,Konditorei,Cloud_Partly_Cloudy,0.4250243891708595,0.42354376528031235
Broetchen,Temp_Mild,Temp_Hot,0.4250223828788736,0.4235417538219094
Broetchen,Konditorei,Mittwoch,0.4249980886950331,0.4235173970779388
Broetchen,Konditorei,Montag,0.42499406900509296,0.4235133670368657
Broetchen,Konditorei,Weather_Moderate,0.4249929378096088,0.4235122329284319
Broetchen,Konditorei,Freitag,0.42498837939301437,0.42350766277342555
Broetchen,Konditorei,Heimspiel,0.4249876594839944,0.42350694101056263
Broetchen,Konditorei,Weather_Good,0.4249855827137877,0.4235048588924498
Broetchen,Konditorei,Temp_Very_Cold,0.42498306741878944,0.42350233712029706
Broetchen,Croissant,Wind_Light,0.4249800176254781,0.4234992794734407
Broetchen,Konditorei,Dienstag,0.4249764820899019,0.42349573483348113
Broetchen,Croissant,Wind_Strong,0.42496703793876156,0.4234862663626382
Broetchen,Croissant,Cloud_Partly_Cloudy,0.4249633568819037,0.42348257582666393
Broetchen,Temp_Warm,Feiertag,0.42495449967543397,0.4234736958119373
Broetchen,Croissant,Samstag,0.4249490528644311,0.42346823497481156
Broetchen,Croissant,Montag,0.4249371167050161,0.42345626807850545
Broetchen,Croissant,Weather_Moderate,0.4249366679010774,0.42345581811884847
Broetchen,Croissant,Donnerstag,0.42490989318434724,0.4234289744543499
Broetchen,Croissant,Dienstag,0.4249074592017966,0.423426534204033
Broetchen,Croissant,Weather_Severe,0.4249037842245782,0.423422849763354
Broetchen,Croissant,Sonntag,0.42490318629250734,0.4234222502915439
Broetchen,Temp_Warm,Markt,0.4249011602348691,0.4234202190165899
Broetchen,Croissant,Mittwoch,0.42488910906194877,0.4234081368106062
Broetchen,Croissant,Weather_Good,0.4248854193654954,0.42340443761278856
