Datum,VPI
2016-06-07,100.7
2016-06-08,100.7
2016-06-09,100.7
2016-06-10,100.7
2016-06-11,100.7
2016-06-12,100.7
2016-06-13,100.7
2016-06-14,100.7
2016-06-15,100.7
2016-06-16,100.7
2016-06-17,100.7
2016-06-18,100.7
2016-06-19,100.7
2016-06-20,100.7
2016-06-21,100.7
2016-06-22,100.7
2016-06-23,100.7
2016-06-24,100.7
2016-06-25,100.7
2016-06-26,100.7
2016-06-27,100.7
2016-06-28,100.7
2016-06-29,100.7
2016-06-30,100.7
2016-07-01,101.1
2016-07-02,101.1
2016-07-03,101.1
2016-07-04,101.1
2016-07-05,101.1
2016-07-06,101.1
2016-07-07,101.1
2016-07-08,101.1
2016-07-09,101.1
2016-07-10,101.1
2016-07-11,101.1
2016-07-12,101.1
2016-07-13,101.1
2016-07-14,101.1
2016-07-15,101.1
2016-07-16,101.1
2016-07-17,101.1
2016-07-18,101.1
2016-07-19,101.1
2016-07-20,101.1
2016-07-21,101.1
2016-07-22,101.1
2016-07-23,101.1
2016-07-24,101.1
2016-07-25,101.1
2016-07-26,101.1
2016-07-27,101.1
2016-07-28,101.1
2016-07-29,101.1
2016-07-30,101.1
2016-07-31,101.1
2016-08-01,101.0
2016-08-02,101.0
2016-08-03,101.0
2016-08-04,101.0
2016-08-05,101.0
2016-08-06,101.0
2016-08-07,101.0
2016-08-08,101.0
2016-08-09,101.0
2016-08-10,101.0
2016-08-11,101.0
2016-08-12,101.0
2016-08-13,101.0
2016-08-14,101.0
2016-08-15,101.0
2016-08-16,101.0
2016-08-17,101.0
2016-08-18,101.0
2016-08-19,101.0
2016-08-20,101.0
2016-08-21,101.0
2016-08-22,101.0
2016-08-23,101.0
2016-08-24,101.0
2016-08-25,101.0
2016-08-26,101.0
2016-08-27,101.0
2016-08-28,101.0
2016-08-29,101.0
2016-08-30,101.0
2016-08-31,101.0
2016-09-01,101.0
2016-09-02,101.0
2016-09-03,101.0
2016-09-04,101.0
2016-09-05,101.0
2016-09-06,101.0
2016-09-07,101.0
2016-09-08,101.0
2016-09-09,101.0
2016-09-10,101.0
2016-09-11,101.0
2016-09-12,101.0
2016-09-13,101.0
2016-09-14,101.0
2016-09-15,101.0
2016-09-16,101.0
2016-09-17,101.0
2016-09-18,101.0
2016-09-19,101.0
2016-09-20,101.0
2016-09-21,101.0
2016-09-22,101.0
2016-09-23,101.0
2016-09-24,101.0
2016-09-25,101.0
2016-09-26,101.0
2016-09-27,101.0
2016-09-28,101.0
2016-09-29,101.0
2016-09-30,101.0
2016-10-01,101.2
2016-10-02,101.2
2016-10-03,101.2
2016-10-04,101.2
2016-10-05,101.2
2016-10-06,101.2
2016-10-07,101.2
2016-10-08,101.2
2016-10-09,101.2
2016-10-10,101.2
2016-10-11,101.2
2016-10-12,101.2
2016-10-13,101.2
2016-10-14,101.2
2016-10-15,101.2
2016-10-16,101.2
2016-10-17,101.2
2016-10-18,101.2
2016-10-19,101.2
2016-10-20,101.2
2016-10-21,101.2
2016-10-22,101.2
2016-10-23,101.2
2016-10-24,101.2
2016-10-25,101.2
2016-10-26,101.2
2016-10-27,101.2
2016-10-28,101.2
2016-10-29,101.2
2016-10-30,101.2
2016-10-31,101.2
2016-11-01,100.5
2016-11-02,100.5
2016-11-03,100.5
2016-11-04,100.5
2016-11-05,100.5
2016-11-06,100.5
2016-11-07,100.5
2016-11-08,100.5
2016-11-09,100.5
2016-11-10,100.5
2016-11-11,100.5
2016-11-12,100.5
2016-11-13,100.5
2016-11-14,100.5
2016-11-15,100.5
2016-11-16,100.5
2016-11-17,100.5
2016-11-18,100.5
2016-11-19,100.5
2016-11-20,100.5
2016-11-21,100.5
2016-11-22,100.5
2016-11-23,100.5
2016-11-24,100.5
2016-11-25,100.5
2016-11-26,100.5
2016-11-27,100.5
2016-11-28,100.5
2016-11-29,100.5
2016-11-30,100.5
2016-12-01,101.2
2016-12-02,101.2
2016-12-03,101.2
